cause_id,glo_bothsex,glo_male,glo_female,agegroup,year
1260,685740,331477,354263,70+ years,2010
1330,40979,15830,25149,70+ years,2010
1340,70975,23942,47033,70+ years,2010
1400,3689,1652,2037,70+ years,2010
1505,0,0,0,70+ years,2010
1520,636713,315673,321040,70+ years,2010
1600,124833,77427,47406,70+ years,2010
0,3995609,2189977,1805632,0-28 days,2000
20,299948,162803,137145,0-28 days,2000
380,310352,170597,139755,0-28 days,2000
420,0,0,0,0-28 days,2000
490,2991889,1639478,1352411,0-28 days,2000
540,443,249,194,0-28 days,2000
610,786,418,368,0-28 days,2000
790,8,5,3,0-28 days,2000
800,37,25,12,0-28 days,2000
810,1098,600,498,0-28 days,2000
820,0,0,0,0-28 days,2000
940,11,6,5,0-28 days,2000
1100,1399,792,607,0-28 days,2000
1170,0,0,0,0-28 days,2000
1210,1148,648,500,0-28 days,2000
1260,195,116,79,0-28 days,2000
1330,0,0,0,0-28 days,2000
1340,0,0,0,0-28 days,2000
1400,330522,182356,148166,0-28 days,2000
1505,825,445,380,0-28 days,2000
1520,53997,30419,23578,0-28 days,2000
1600,2949,1018,1931,0-28 days,2000
0,5742436,2989195,2753241,1-59 months,2000
20,3101401,1583689,1517712,1-59 months,2000
380,1346524,715816,630708,1-59 months,2000
420,0,0,0,1-59 months,2000
490,206381,113055,93326,1-59 months,2000
540,187392,98598,88794,1-59 months,2000
610,45601,24408,21193,1-59 months,2000
790,303,163,140,1-59 months,2000
800,3403,1735,1668,1-59 months,2000
810,35438,19135,16303,1-59 months,2000
820,6,6,0,1-59 months,2000
940,25914,14234,11680,1-59 months,2000
1100,42607,22048,20559,1-59 months,2000
1170,19268,9355,9913,1-59 months,2000
1210,50923,26740,24183,1-59 months,2000
1260,23792,11796,11996,1-59 months,2000
1330,7482,2695,4787,1-59 months,2000
1340,0,0,0,1-59 months,2000
1400,230078,125046,105032,1-59 months,2000
1505,40827,22796,18031,1-59 months,2000
1520,344874,184072,160802,1-59 months,2000
1600,30222,13809,16413,1-59 months,2000
0,1345150,699273,645877,5-14 years,2000
20,649913,316127,333786,5-14 years,2000
380,93880,44163,49717,5-14 years,2000
420,0,0,0,5-14 years,2000
490,80,43,37,5-14 years,2000
540,33665,15886,17779,5-14 years,2000
610,56447,30588,25859,5-14 years,2000
790,881,428,453,5-14 years,2000
800,3070,1246,1824,5-14 years,2000
810,21602,11488,10114,5-14 years,2000
820,113,82,31,5-14 years,2000
940,18776,9897,8879,5-14 years,2000
1100,30775,14949,15826,5-14 years,2000
1170,11767,5614,6153,5-14 years,2000
1210,32893,17378,15515,5-14 years,2000
1260,16488,8107,8381,5-14 years,2000
1330,1292,566,726,5-14 years,2000
1340,1259,473,786,5-14 years,2000
1400,39718,19497,20221,5-14 years,2000
1505,0,0,0,5-14 years,2000
1520,284652,176153,108499,5-14 years,2000
1600,47857,26580,21277,5-14 years,2000
0,2657858,1509092,1148766,15-29 years,2000
20,780857,384135,396722,15-29 years,2000
380,52469,26739,25730,15-29 years,2000
420,187858,0,187858,15-29 years,2000
490,48,34,14,15-29 years,2000
540,14633,6201,8432,15-29 years,2000
610,138602,70545,68057,15-29 years,2000
790,1562,852,710,15-29 years,2000
800,13086,6012,7074,15-29 years,2000
810,19082,9217,9865,15-29 years,2000
820,35196,27978,7218,15-29 years,2000
940,33565,19719,13846,15-29 years,2000
1100,158894,89736,69158,15-29 years,2000
1170,30566,16149,14417,15-29 years,2000
1210,93797,54636,39161,15-29 years,2000
1260,43732,22579,21153,15-29 years,2000
1330,2077,1115,962,15-29 years,2000
